Alpha,0.1,,,,,,,,,,,,,,,,,,
,k --> ,,,,,,,,,,,,,,,,,,
72,3.7418,4.2545,4.5619,4.7809,4.9512,5.09,5.2071,5.3081,5.3969,5.4761,5.5475,5.6125,5.672,5.727,5.778,5.8256,5.8702,5.9121,5.9517
73,3.7405,4.2526,4.5597,4.7784,4.9484,5.0871,5.204,5.3049,5.3936,5.4726,5.5439,5.6087,5.6682,5.7231,5.774,5.8215,5.866,5.9079,5.9474
74,3.7391,4.2508,4.5576,4.776,4.9458,5.0842,5.201,5.3017,5.3903,5.4692,5.5404,5.6051,5.6645,5.7193,5.7701,5.8176,5.862,5.9038,5.9432
75,3.7378,4.249,4.5555,4.7736,4.9432,5.0815,5.198,5.2986,5.3871,5.4659,5.5369,5.6016,5.6609,5.7156,5.7663,5.8137,5.8581,5.8998,5.9391
76,3.7365,4.2472,4.553,4.7713,4.9407,5.0788,5.1952,5.2957,5.384,5.4627,5.5336,5.5982,5.6573,5.712,5.7627,5.8099,5.8542,5.8959,5.9352
77,3.7353,4.2456,4.551,4.7691,4.9382,5.0762,5.1924,5.2928,5.3809,5.4595,5.5304,5.5948,5.6539,5.7085,5.7591,5.8063,5.8505,5.8921,5.9313
78,3.7341,4.2439,4.5491,4.7669,4.9359,5.0736,5.1897,5.2899,5.378,5.4565,5.5272,5.5916,5.6506,5.705,5.7556,5.8027,5.8469,5.8884,5.9276
79,3.7329,4.2423,4.5472,4.7648,4.9335,5.0711,5.1871,5.2872,5.3751,5.4535,5.5241,5.5884,5.6473,5.7017,5.7522,5.7992,5.8433,5.8848,5.9239
80,3.7317,4.2407,4.5453,4.7627,4.9313,5.0687,5.1845,5.2845,5.3723,5.4506,5.5211,5.5853,5.6442,5.6985,5.7489,5.7959,5.8399,5.8813,5.9203
81,3.7306,4.2392,4.5435,4.7602,4.9291,5.0663,5.182,5.2819,5.3696,5.4478,5.5182,5.5823,5.6411,5.6953,5.7456,5.7926,5.8365,5.8779,5.9169
82,3.7295,4.2377,4.5418,4.7583,4.9269,5.064,5.1796,5.2793,5.3669,5.445,5.5154,5.5794,5.6381,5.6922,5.7425,5.7894,5.8333,5.8745,5.9135
83,3.7284,4.2363,4.5401,4.7564,4.9248,5.0618,5.1772,5.2768,5.3643,5.4423,5.5126,5.5765,5.6351,5.6892,5.7394,5.7862,5.8301,5.8713,5.9102
84,3.7274,4.2349,4.5384,4.7545,4.9228,5.0596,5.1749,5.2744,5.3618,5.4397,5.5099,5.5737,5.6323,5.6863,5.7364,5.7832,5.8269,5.8681,5.9069
85,3.7264,4.2335,4.5368,4.7527,4.9208,5.0575,5.1726,5.272,5.3593,5.4371,5.5072,5.571,5.6295,5.6834,5.7335,5.7802,5.8239,5.865,5.9038
86,3.7254,4.2322,4.5352,4.751,4.9188,5.0554,5.1704,5.2697,5.3569,5.4346,5.5047,5.5684,5.6268,5.6806,5.7306,5.7773,5.8209,5.862,5.9007
87,3.7244,4.2308,4.5336,4.7493,4.9169,5.0533,5.1683,5.2674,5.3546,5.4322,5.5021,5.5658,5.6241,5.6779,5.7278,5.7744,5.818,5.859,5.8977
88,3.7235,4.2296,4.5321,4.7476,4.9151,5.0514,5.1662,5.2652,5.3523,5.4298,5.4997,5.5632,5.6215,5.6752,5.7251,5.7716,5.8152,5.8562,5.8948
89,3.7226,4.2283,4.5306,4.746,4.9133,5.0494,5.1641,5.2631,5.35,5.4275,5.4973,5.5608,5.6189,5.6726,5.7225,5.7689,5.8124,5.8533,5.8919
90,3.7217,4.2271,4.5292,4.7444,4.9115,5.0475,5.1621,5.261,5.3478,5.4252,5.4949,5.5583,5.6165,5.6701,5.7199,5.7663,5.8097,5.8506,5.8891
91,3.7208,4.2259,4.5277,4.7428,4.9097,5.0457,5.1601,5.2589,5.3457,5.423,5.4926,5.556,5.614,5.6676,5.7173,5.7637,5.8071,5.8479,5.8864
92,3.7199,4.2247,4.5263,4.7413,4.908,5.0438,5.1582,5.2569,5.3436,5.4208,5.4904,5.5537,5.6117,5.6652,5.7148,5.7611,5.8045,5.8453,5.8837
93,3.7191,4.2236,4.525,4.7398,4.9064,5.0421,5.1563,5.2549,5.3415,5.4187,5.4882,5.5514,5.6093,5.6628,5.7124,5.7587,5.802,5.8427,5.8811
94,3.7183,4.2224,4.5237,4.7382,4.9048,5.0403,5.1545,5.253,5.3395,5.4166,5.486,5.5492,5.6071,5.6605,5.71,5.7562,5.7995,5.8402,5.8785
95,3.7174,4.2213,4.5224,4.7371,4.9032,5.0386,5.1527,5.2511,5.3375,5.4145,5.4839,5.547,5.6048,5.6582,5.7077,5.7539,5.7971,5.8377,5.876
96,3.7167,4.2203,4.5211,4.7355,4.9016,5.037,5.1509,5.2493,5.3356,5.4125,5.4819,5.5449,5.6027,5.656,5.7054,5.7515,5.7947,5.8353,5.8736
97,3.7159,4.2192,4.5198,4.7342,4.9001,5.0353,5.1492,5.2474,5.3337,5.4106,5.4798,5.5428,5.6005,5.6538,5.7032,5.7493,5.7924,5.8329,5.8712
98,3.7151,4.2182,4.5186,4.7328,4.8986,5.0337,5.1475,5.2457,5.3319,5.4087,5.4779,5.5408,5.5984,5.6516,5.701,5.747,5.7901,5.8306,5.8688
99,3.7144,4.2172,4.5174,4.7315,4.8971,5.0322,5.1459,5.2439,5.3301,5.4068,5.4759,5.5388,5.5964,5.6496,5.6989,5.7448,5.7879,5.8284,5.8665
100,3.7137,4.2162,4.5163,4.7303,4.8957,5.0306,5.1443,5.2422,5.3283,5.405,5.474,5.5368,5.5944,5.6475,5.6968,5.7427,5.7857,5.8261,5.8643
101,3.7129,4.2152,4.5151,4.729,4.8943,5.0291,5.1427,5.2406,5.3266,5.4032,5.4722,5.5349,5.5924,5.6455,5.6947,5.7406,5.7836,5.824,5.8621
102,3.7122,4.2143,4.514,4.7278,4.8929,5.0277,5.1411,5.239,5.3249,5.4014,5.4704,5.5331,5.5905,5.6435,5.6927,5.7386,5.7815,5.8218,5.8599
103,3.7116,4.2134,4.5129,4.7266,4.8916,5.0262,5.1396,5.2374,5.3232,5.3997,5.4686,5.5312,5.5886,5.6416,5.6907,5.7365,5.7794,5.8198,5.8578
104,3.7109,4.2124,4.5118,4.7254,4.8903,5.0248,5.1381,5.2358,5.3216,5.398,5.4668,5.5294,5.5868,5.6397,5.6888,5.7346,5.7774,5.8177,5.8557
105,3.7102,4.2115,4.5108,4.7242,4.889,5.0234,5.1366,5.2343,5.32,5.3963,5.4651,5.5277,5.585,5.6378,5.6869,5.7326,5.7754,5.8157,5.8537
106,3.7096,4.2107,4.5097,4.7231,4.8877,5.0221,5.1352,5.2327,5.3184,5.3947,5.4634,5.5259,5.5832,5.636,5.685,5.7307,5.7735,5.8137,5.8517
107,3.709,4.2098,4.5087,4.722,4.8865,5.0207,5.1338,5.2313,5.3169,5.3931,5.4618,5.5242,5.5815,5.6342,5.6832,5.7289,5.7716,5.8118,5.8497
108,3.7083,4.209,4.5077,4.7209,4.8853,5.0194,5.1324,5.2298,5.3154,5.3915,5.4602,5.5226,5.5797,5.6325,5.6814,5.727,5.7698,5.8099,5.8478
109,3.7077,4.2081,4.5067,4.7194,4.8841,5.0181,5.131,5.2284,5.3139,5.39,5.4586,5.5209,5.5781,5.6308,5.6797,5.7252,5.7679,5.808,5.8459
110,3.7071,4.2073,4.5058,4.7183,4.8824,5.0169,5.1297,5.227,5.3124,5.3885,5.457,5.5193,5.5764,5.6291,5.6779,5.7235,5.7661,5.8062,5.844
111,3.7065,4.2065,4.5048,4.7172,4.8813,5.0157,5.1284,5.2256,5.311,5.387,5.4555,5.5178,5.5748,5.6274,5.6762,5.7218,5.7644,5.8044,5.8422
112,3.706,4.2057,4.5039,4.7162,4.8802,5.0144,5.1271,5.2243,5.3096,5.3856,5.454,5.5162,5.5732,5.6258,5.6746,5.7201,5.7626,5.8027,5.8404
113,3.7054,4.205,4.503,4.7152,4.8791,5.0132,5.1259,5.223,5.3082,5.3841,5.4525,5.5147,5.5717,5.6242,5.673,5.7184,5.7609,5.8009,5.8387
114,3.7048,4.2042,4.5021,4.7142,4.878,5.0121,5.1246,5.2217,5.3069,5.3827,5.4511,5.5132,5.5701,5.6226,5.6714,5.7168,5.7593,5.7992,5.8369
115,3.7043,4.2035,4.5012,4.7132,4.877,5.0109,5.1234,5.2204,5.3055,5.3814,5.4496,5.5117,5.5686,5.6211,5.6698,5.7152,5.7576,5.7976,5.8352
116,3.7038,4.2028,4.5003,4.7122,4.876,5.0098,5.1222,5.2191,5.3042,5.38,5.4482,5.5103,5.5671,5.6196,5.6682,5.7136,5.756,5.7959,5.8336
117,3.7032,4.202,4.4995,4.7113,4.875,5.0087,5.121,5.2179,5.3029,5.3787,5.4469,5.5089,5.5657,5.6181,5.6667,5.712,5.7545,5.7943,5.8319
118,3.7027,4.2013,4.4987,4.7103,4.874,5.0076,5.1199,5.2167,5.3017,5.3774,5.4455,5.5075,5.5643,5.6166,5.6652,5.7105,5.7529,5.7928,5.8303
119,3.7022,4.2006,4.4978,4.7094,4.873,5.0065,5.1187,5.2155,5.3004,5.3761,5.4442,5.5061,5.5629,5.6152,5.6637,5.709,5.7514,5.7912,5.8288
120,3.7017,4.2,4.497,4.7085,4.872,5.0055,5.1176,5.2143,5.2992,5.3748,5.4429,5.5048,5.5615,5.6138,5.6623,5.7075,5.7499,5.7897,5.8272
